timestamp,serial,lot_id,station,operator,meas_voltage,meas_current,result,fail_code,rework_hours,scrap_cost_$,source_file,date
11/2/2025 8:02,S1101-1003,L1101TEST,PAYAM,PIE,2.5,1.18,PASS,PIETEST,2,40,PAYAM_2025-11-01.csv,11/2/2025
11/3/2025 8:02,S1101-1004,L1101TEST,PAYAM,PIE,2.6,1.18,PASS,PIETEST,5,40,PAYAM_2025-11-01.csv,11/3/2025
11/4/2025 8:02,S1101-1005,L1101TEST,PAYAM,PIE,2.7,1.18,PASS,PIETEST,5,40,PAYAM_2025-11-01.csv,11/4/2025
11/5/2025 8:02,S1101-1006,L1101TEST,PAYAM,PIE,2.8,1.18,PASS,PIETEST,5,40,PAYAM_2025-11-01.csv,11/5/2025
11/6/2025 8:02,S1101-1007,L1101TEST,PAYAM,PIE,2.9,1.18,PASS,PIETEST,5,20,PAYAM_2025-11-01.csv,11/6/2025
11/7/2025 8:02,S1101-1008,L1101TEST,PAYAM,PIE,3,1.18,PASS,PIETEST,5,40,PAYAM_2025-11-01.csv,11/7/2025
11/8/2025 8:02,S1101-1009,L1101TEST,PAYAM,PIE,3.1,1.18,PASS,PIETEST,5,40,PAYAM_2025-11-01.csv,11/8/2025
11/9/2025 8:02,S1101-1004,L1101TEST,PAYAM,PIE,3.2,1.18,PASS,PIETEST,5,40,PAYAM_2025-11-01.csv,11/9/2025
11/10/2025 8:02,S1101-1004,L1101TEST,PAYAM,PIE,3.3,1.18,PASS,PIETEST,5,40,PAYAM_2025-11-01.csv,11/10/2025
11/11/2025 8:02,S1101-1005,L1101TEST,PAYAM,PIE,3.4,1.18,PASS,PIETEST,5,40,PAYAM_2025-11-01.csv,11/11/2025
11/12/2025 8:02,S1101-1006,L1101TEST,PAYAM,PIE,3.5,1.18,PASS,PIETEST,5,40,PAYAM_2025-11-01.csv,11/12/2025
11/13/2025 8:02,S1101-1007,L1101TEST,PAYAM,PIE,3.6,1.18,PASS,PIETEST,5,40,PAYAM_2025-11-01.csv,11/13/2025
11/14/2025 8:02,S1101-1008,L1101TEST,PAYAM,PIE,3.7,1.18,PASS,PIETEST,5,30,PAYAM_2025-11-01.csv,11/14/2025
11/15/2025 8:02,S1101-1009,L1101TEST,PAYAM,PIE,3.8,1.18,PASS,PIETEST,5,40,PAYAM_2025-11-01.csv,11/15/2025
11/16/2025 8:02,S1101-1010,L1101TEST,PAYAM,PIE,3.8,1.18,PASS,PIETEST,5,40,PAYAM_2025-11-01.csv,11/16/2025
11/17/2025 8:02,S1101-1011,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,2,40,PAYAM_2025-11-01.csv,11/17/2025
11/18/2025 8:02,S1101-1012,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,40,PAYAM_2025-11-01.csv,11/18/2025
11/19/2025 8:02,S1101-1013,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,40,PAYAM_2025-11-01.csv,11/19/2025
11/20/2025 8:02,S1101-1014,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,10,PAYAM_2025-11-01.csv,11/20/2025
11/21/2025 8:02,S1101-1015,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,40,PAYAM_2025-11-01.csv,11/21/2025
11/22/2025 8:02,S1101-1016,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,40,PAYAM_2025-11-01.csv,11/22/2025
11/23/2025 8:02,S1101-1017,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,0,PAYAM_2025-11-01.csv,11/23/2025
11/24/2025 8:02,S1101-1018,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,40,PAYAM_2025-11-01.csv,11/24/2025
11/25/2025 8:02,S1101-1019,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,40,PAYAM_2025-11-01.csv,11/25/2025
11/26/2025 8:02,S1101-1020,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,40,PAYAM_2025-11-01.csv,11/26/2025
11/27/2025 8:02,S1101-1021,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,40,PAYAM_2025-11-01.csv,11/27/2025
11/28/2025 8:02,S1101-1022,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,90,PAYAM_2025-11-01.csv,11/28/2025
11/1/2025 8:00,S1101-0001,L1101TEST,TEST,Ava,3.62,1.19,PASS,,,,TEST_2025-11-01.csv,11/1/2025
11/1/2025 8:01,S1101-0002,L1101TEST,TEST,Ben,3.58,1.27,FAIL,VOLT_LOW,,,TEST_2025-11-01.csv,11/1/2025
11/1/2025 8:02,S1101-0003,L1101TEST,TEST,Chen,3.66,1.18,PASS,,,,TEST_2025-11-01.csv,11/1/2025
11/1/2025 8:00,S1101-0001,L1101TEST,TEST,Ava,3.62,1.19,PASS,,0.5,3,WELD_2025-11-01.csv,11/1/2025
11/1/2025 8:01,S1101-0002,L1101TEST,TEST,Ben,3.58,1.27,FAIL,VOLT_LOW,1.2,35,WELD_2025-11-01.csv,11/1/2025
11/1/2025 8:02,S1101-0003,L1101TEST,TEST,Chen,3.66,1.18,PASS,,,,WELD_2025-11-01.csv,11/1/2025
